Algo,Run,Width,Height,Density,TimeMs,PathLen
Dijkstra,5,50,20,0.20,1,50
AStar,5,50,20,0.20,1,50
BFS,1,50,20,0.30,1,51
Dijkstra,1,50,20,0.30,1,51
AStar,1,50,20,0.30,1,50
BFS,2,50,20,0.30,1,51
Dijkstra,2,50,20,0.30,2,51
AStar,2,50,20,0.30,2,50
BFS,3,50,20,0.30,1,51
Dijkstra,3,50,20,0.30,1,51
AStar,3,50,20,0.30,1,50
BFS,4,50,20,0.30,1,51
Dijkstra,4,50,20,0.30,1,51
AStar,4,50,20,0.30,1,50
BFS,5,50,20,0.30,1,51
Dijkstra,5,50,20,0.30,1,51
AStar,5,50,20,0.30,1,50
BFS,1,50,50,0.10,3,52
Dijkstra,1,50,50,0.10,6,52
AStar,1,50,50,0.10,0,51
BFS,2,50,50,0.10,3,52
Dijkstra,2,50,50,0.10,6,52
AStar,2,50,50,0.10,0,51
BFS,3,50,50,0.10,3,52
Dijkstra,3,50,50,0.10,6,52
AStar,3,50,50,0.10,0,51
BFS,4,50,50,0.10,4,52
Dijkstra,4,50,50,0.10,7,52
AStar,4,50,50,0.10,0,51
BFS,5,50,50,0.10,4,52
Dijkstra,5,50,50,0.10,6,52
AStar,5,50,50,0.10,0,51
BFS,1,50,50,0.20,3,56
Dijkstra,1,50,50,0.20,5,56
AStar,1,50,50,0.20,0,57
BFS,2,50,50,0.20,3,56
Dijkstra,2,50,50,0.20,5,56
AStar,2,50,50,0.20,0,57
BFS,3,50,50,0.20,3,56
Dijkstra,3,50,50,0.20,5,56
AStar,3,50,50,0.20,0,57
BFS,4,50,50,0.20,3,56
Dijkstra,4,50,50,0.20,5,56
AStar,4,50,50,0.20,0,57
BFS,5,50,50,0.20,3,56
Dijkstra,5,50,50,0.20,6,56
AStar,5,50,50,0.20,0,57
BFS,1,50,50,0.30,2,59
Dijkstra,1,50,50,0.30,5,59
AStar,1,50,50,0.30,2,62
BFS,2,50,50,0.30,2,59
Dijkstra,2,50,50,0.30,4,59
AStar,2,50,50,0.30,1,62
BFS,3,50,50,0.30,2,59
Dijkstra,3,50,50,0.30,4,59
AStar,3,50,50,0.30,1,62
BFS,4,50,50,0.30,2,59
Dijkstra,4,50,50,0.30,4,59
AStar,4,50,50,0.30,1,62
BFS,5,50,50,0.30,3,59
Dijkstra,5,50,50,0.30,4,59
AStar,5,50,50,0.30,2,62
